Date,Open,High,Low,Close,Adj Close,Volume,Stock,Normalization,Daily Returns
01-10-2010,9.29,9.39,9.21,9.29,8.758067,3603800,AAL,1,0.018640351
04-10-2010,9.24,9.48,9.05,9.12,8.597802,3856800,AAL,0.981700753,-0.01191766
05-10-2010,9.27,9.35,9.15,9.23,8.701504,3896600,AAL,0.993541442,0
06-10-2010,9.27,9.4,9.15,9.23,8.701504,3230200,AAL,0.993541442,-0.001082251
07-10-2010,9.3,9.31,9.07,9.24,8.71093,3877700,AAL,0.994617869,0.018743109
08-10-2010,9.22,9.26,9,9.07,8.550665,4455700,AAL,0.976318622,0.007777778
11-10-2010,9.06,9.16,9,9,8.484673,2231500,AAL,0.968783638,-0.057591623
12-10-2010,9.02,9.57,8.94,9.55,9.003184,10884900,AAL,1.027987083,-0.025510204
13-10-2010,9.67,9.9,9.65,9.8,9.238865,7754800,AAL,1.05489774,0.00204499
14-10-2010,9.76,9.81,9.62,9.78,9.22001,3760500,AAL,1.052744887,0.008247423
15-10-2010,9.85,9.88,9.68,9.7,9.144594,3410500,AAL,1.044133477,-0.041501976
18-10-2010,9.79,10.14,9.7,10.12,9.540545,6040200,AAL,1.08934338,0.002973241
19-10-2010,9.94,10.24,9.85,10.09,9.512263,8197200,AAL,1.086114101,-0.069188192
20-10-2010,10.5,11.05,10.4,10.84,10.219318,19890000,AAL,1.166846071,0.008372093
21-10-2010,10.94,11.04,10.55,10.75,10.134469,9956400,AAL,1.157158235,-0.005550416
22-10-2010,10.77,10.85,10.58,10.81,10.191037,3485500,AAL,1.163616792,-0.066493955
25-10-2010,10.97,11.71,10.91,11.58,10.916947,12724300,AAL,1.246501615,-0.012787724
26-10-2010,11.47,11.83,11.35,11.73,11.058357,9933800,AAL,1.262648009,-0.0225
27-10-2010,11.66,12,11.53,12,11.312896,6854000,AAL,1.291711518,0.01010101
28-10-2010,12.02,12.24,11.76,11.88,11.199768,6836500,AAL,1.278794403,0.007633588
29-10-2010,11.81,11.97,11.47,11.79,11.114922,5499700,AAL,1.269106566,0.011149228
01-11-2010,11.88,11.88,11.49,11.66,10.992366,4875500,AAL,1.255113025,-0.021812081
02-11-2010,11.75,11.92,11.55,11.92,11.237479,3393600,AAL,1.283100108,-0.012427506
03-11-2010,11.93,12.12,11.87,12.07,11.378889,5059800,AAL,1.299246502,0.044117647
04-11-2010,12.24,12.26,11.55,11.56,10.898091,10437800,AAL,1.244348762,-0.000864304
05-11-2010,11.6,11.79,11.53,11.57,10.907519,5840100,AAL,1.245425188,0.030276046
08-11-2010,11.57,11.63,11.04,11.23,10.586987,8714900,AAL,1.208826695,0.021838035
09-11-2010,11.36,11.39,10.87,10.99,10.360728,5591600,AAL,1.182992465,0.019480519
